,vars_added,cv_rmse,cv_sd
0,annual,0.1325767549487844,0.004643469991812489
1,april,0.12470348097820746,0.0032218560758076648
2,may,0.12395143350284032,0.004001797758027572
3,june,0.1230835562666471,0.004440747023336359
4,july,0.12270005092483893,0.0014208216989429168
5,august,0.12042675611374423,0.0025770869041475686
6,sepetember,0.12049591265504198,0.0027841951705289314
7,october,0.11991426706539429,0.0044154719816785195
8,november,0.11914841876262854,0.00262937056929733
