,vars_added,cv_rmse,cv_sd,n_vars
0,thresh_07,0.13133890914894464,0.0031714206539092808,12
1,thresh_05,0.12302418622450259,0.0033650650018054564,20
2,thresh_04,0.12244775110287072,0.003509787939919699,23
3,thresh_03,0.12200733749556805,0.0031986188036013125,30
4,thresh_02,0.12060398115843574,0.004453187476992478,49
5,thresh_01,0.11956222188126372,0.0031043020398169585,83
6,thresh_005,0.11721963649821734,0.003240230520621047,122
