,vars_added,cv_rmse,cv_sd
0,annual,0.13922270444643464,0.0026724957711847784
1,april,0.1304583234552378,0.002973512382801234
2,may,0.13024907735683944,0.004789721102122002
3,june,0.12799961643932578,0.003930628147207399
4,july,0.12736176150287365,0.0034130714596922658
5,august,0.12576312855038183,0.004974390083406393
6,sepetember,0.12565804484786255,0.0038402341542112784
7,october,0.12451272047165152,0.005505172325516176
8,november,0.1240695202558431,0.004834385041082079
