,vars_added,cv_rmse,cv_sd
0,annual,0.17578826243038015,0.004204243576387115
1,april,0.16547107938236333,0.003795100506534842
2,may,0.1647979629075435,0.0049007492728033305
3,june,0.16513732028678163,0.003587510630064927
4,july,0.1639022290145,0.003211932050508605
5,august,0.16127205530345554,0.003766092417987543
6,sepetember,0.16133630984387376,0.006187600851798086
7,october,0.15787717542390745,0.004150851107273229
8,november,0.15774874308236803,0.005520482889046374
