,vars_added,cv_rmse,test_rmse
0,annual,0.17087018313908522,0.17139368250517695
1,spring,0.16089926000529045,0.16321088999358516
2,fall,0.15587759956318664,0.15786887119201048
3,april,0.15596616559967041,0.15708798473713448
4,july,0.15712270480199006,0.1575508001446166
5,october,0.1556848116836628,0.15632723368212362
