,vars_added,cv_rmse,test_rmse
0,annual,0.16990896003020883,0.1689403150270625
1,april,0.162026018900039,0.1612687934951662
2,may,0.1621693895443684,0.16088896661087077
3,june,0.16149466883752508,0.1603215168802634
4,july,0.16185150197189108,0.160262667643777
5,august,0.1609263478798652,0.159283609240429
6,september,0.16124166431788017,0.15976933642582083
7,october,0.15914938973435983,0.15732786262551426
8,november,0.15872285290047156,0.15672793343034222
