,vars_added,cv_rmse,cv_sd,n_vars
0,thresh_07,0.16773207797686304,0.0065111706295470405,12
1,thresh_05,0.157901362895667,0.00336418451557227,19
2,thresh_04,0.15797751413866065,0.0032465877067498106,21
3,thresh_03,0.1557592310465894,0.005347044835996731,28
4,thresh_02,0.15548267248289377,0.005161489352863886,37
5,thresh_01,0.15572806255540494,0.004687545362583303,67
6,thresh_005,0.15536425201371287,0.005141375812203333,105
