,vars_added,cv_rmse,cv_sd
0,annual,0.14297706881799419,0.00423051707315917
1,april,0.13663044475558078,0.003071762593508833
2,may,0.1325216976409637,0.004648869678779253
3,june,0.13093397417993055,0.0031224844012308892
4,july,0.13026977725622774,0.0025223343942534977
5,august,0.12870489858757578,0.005036727286709398
6,sepetember,0.12941279759248744,0.003321073820074176
7,october,0.12665045011435566,0.004372413739783214
8,november,0.1265731851391428,0.0037999190051356438
