,vars_added,cv_rmse,cv_sd,n_vars
0,thresh_07,0.1424960642850825,0.0026666036126185367,13
1,thresh_05,0.13497298902289914,0.004114621090486382,19
2,thresh_04,0.13383504401972973,0.0040489090277594396,22
3,thresh_03,0.12954117427416306,0.004100992592029846,27
4,thresh_02,0.12829771283286104,0.005262860680157014,40
5,thresh_01,0.12354599259790473,0.003592695637837664,73
6,thresh_005,0.12220390297598101,0.003061349741048915,126
